Cause,Definition,Example
Punishment,"A god changes someone for an offence — real, imagined, or someone else's.",Lycaön to a wolf (1.236); Actaeon to a stag (3.194).
Escape,"The change rescues its subject from pursuit, usually at their own plea.","Daphne to a laurel (1.548); the crow, fleeing Neptune (2.581)."
Concealment,A god hides his own doing by changing its victim.,Io to a cow (1.611).
Grief,Mourning itself works the change; often no god is involved at all.,The Heliads to poplars (2.363); Echo to a voice (3.398).
Pity,A death is answered with a form that outlasts it.,The narcissus in place of the boy (3.510).
Reward,"The subject is raised — to the stars, or to godhead.",Callisto and Arcas made stars (2.507); Io worshipped as a goddess (1.747).
Retaliation,The change answers a blow struck at something sacred.,Tiresias made a woman for striking the serpents (3.326).
Disguise,"A god assumes a form and will shed it again: voluntary, and reversible.",Jupiter as a bull (2.850); Juno as the nurse Beroë (3.278).
Creation,Something is made from inert matter.,Men from stones (1.401); soldiers from the dragon's teeth (3.107).
Reversal,An earlier change is undone.,Io restored (1.738); Tiresias made a man again (3.331).
